,cq,baseline,plateau,slope,inflection,asymmetry,drift,CurveCall
94241,49.267698063397,11.475360204145,21.503433036386,-0.48176969045992,45.526153353215,5.5,0.052921430181541,False
214672,37.868893641613,17.163102107067,33.916476397182,-0.42488086474374,33.626380065593,5.5,-0.0013517784179348,True
122076,,21.274748618644,28.889301801995,-0.58693922615054,47.141327859789,5.5,0.055791736067222,False
163825,24.378746053678,22.72968446562,24.14008239429,-0.15500886700206,12.749973637435,5.5,0.024241765291924,False
339557,,14.966973662017,15.838089334083,-0.01,40.334425202615,1.6036961089441,0.0491340198414,False
244371,38.731628010934,16.600212204326,37.448228988278,-0.40948401864411,34.329593365393,5.5,0.038053989057759,True
26260,39.752257874746,16.632410876865,33.631442403227,-0.40693395435358,35.322637742089,5.5,0.053458579184537,True
349929,39.220081652109,15.162245882769,35.18350652862,-0.38370228510748,34.522265384578,5.5,0.015862504831318,True
123896,14.34849918499,17.614410453307,19.633156744525,-0.10887589975627,0.0,4.7532987382293,0.051574747646605,False
15094,,20.971992396056,22.768356623289,-0.76084082836314,47.545476636355,5.5,0.021830100710446,False
94014,,20.243996036887,48.471351410872,-0.31996956472283,44.534536765346,5.5,0.028059290672008,False
19816,,14.937827367222,15.28992759735,-0.01,35.234380676521,3.1513082523695,0.020029835573461,False
336255,,19.62885076096,20.518821914545,-0.01,34.748713175344,3.4423463783187,0.051358765092979,False
17388,,25.278131637078,339.40587441651,-1.8512153918141,58.781826395749,0.5,0.11891037676123,False
267026,,17.160441955501,33.7823687163,-0.23899620172239,50.675946567139,5.5,0.0226311832401,False
23303,38.149280864619,15.817758500145,34.203590827439,-0.40805857245652,33.731868859241,5.5,0.02780557609966,True
374774,38.06271010906,15.464758279579,43.759446873817,-0.43256708641788,33.895581140017,5.5,0.032208940241271,True
